about_project,address,benefits,city,contract_type,development_opportunities,employer,expected_requirements,expected_technologies,expiration_date,job_title,max_salary,min_salary,optional_requirements,optional_technologies,position_level,price_unit,responsibilities,scraping_datetime,source,specialization,url,what_they_offer,work_mode,work_schedule
Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in order to manage doctors working time. Implemented algorithm deals with sophisticated legal policies and handles individual plans of residents. The system has an intuitive user interface with drag and drop features. The absent days such as maternity or sick leaves can also be managed and reported. Medplanic automatically deals with the sudden and unexpected changes.,None,"['remote work opportunities', 'flexible working time', 'integration events']","Wrocław, Lower Silesia","employment, B2B","['external training', 'intracompany training', 'substantive support from technological leaders']",Zone IT Sp. z o.o.,"['AI development', 'Network experience', 'Oracle experience']","['Cloud', 'AWS', 'Jira', 'Git', 'GitLab']",23-01-2024,Integration Specialist,19000,12000,[],[],specialist (Mid / Regular),gross / mth.,"['Contribute to the design and development of a web portal/application', 'Feature planning, implementation and documentation', 'Identify activities for applications consolidation and standardization', 'Derivation of IT roadmaps and their implementation', 'Supporting international business projects for the realization strategic IT solutions', 'Analysis and Design of Business and IT Landscapes']",27/12/2023 18:10:39,pracuj.pl,AI/ML,"https://www.pracuj.pl/praca/integration-specialist-wroclaw-wagonowa-2d,oferta,1003050296",[],hybrid work,full-time
Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in order to manage doctors working time. Implemented algorithm deals with sophisticated legal policies and handles individual plans of residents. The system has an intuitive user interface with drag and drop features. The absent days such as maternity or sick leaves can also be managed and reported. Medplanic automatically deals with the sudden and unexpected changes.,None,"['remote work opportunities', 'flexible working time', 'integration events']","Wrocław, Lower Silesia","employment, B2B","['external training', 'intracompany training', 'substantive support from technological leaders']",Zone IT Sp. z o.o.,"['iOS development', 'Graphic experience', 'Database experience']","['iOS', 'Swift', 'Git', 'GitLab', 'Jira']",23-01-2024,iOS Developer,25000,15000,[],['JavaScript'],specialist (Mid / Regular),gross / mth.,"['Contribute to the design and development of a web portal/application', 'Feature planning, implementation and documentation', 'Identify activities for applications consolidation and standardization', 'Derivation of IT roadmaps and their implementation', 'Supporting international business projects for the realization strategic IT solutions', 'Analysis and Design of Business and IT Landscapes']",27/12/2023 18:10:40,pracuj.pl,Mobile,"https://www.pracuj.pl/praca/ios-developer-wroclaw-wagonowa-2d,oferta,1003050290",[],hybrid work,full-time
Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in order to manage doctors working time. Implemented algorithm deals with sophisticated legal policies and handles individual plans of residents. The system has an intuitive user interface with drag and drop features. The absent days such as maternity or sick leaves can also be managed and reported. Medplanic automatically deals with the sudden and unexpected changes.,None,"['remote work opportunities', 'flexible working time', 'integration events']","Wrocław, Lower Silesia","employment, B2B","['external training', 'intracompany training', 'substantive support from technological leaders']",Zone IT Sp. z o.o.,"['Angular development', 'Database experience']",['Angular'],23-01-2024,Frontend Developer,18000,10000,[],"['Ruby on Rails', 'React.js', 'Angular.js', 'JavaScript', 'HTML', 'CSS']",specialist (Mid / Regular),gross / mth.,"['Contribute to the design and development of a web portal/application', 'Feature planning, implementation and documentation', 'Identify activities for applications consolidation and standardization', 'Derivation of IT roadmaps and their implementation', 'Supporting international business projects for the realization strategic IT solutions', 'Analysis and Design of Business and IT Landscapes']",27/12/2023 18:10:40,pracuj.pl,Frontend,"https://www.pracuj.pl/praca/frontend-developer-wroclaw-wagonowa-2d,oferta,1003050292",[],hybrid work,full-time
Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in order to manage doctors working time. Implemented algorithm deals with sophisticated legal policies and handles individual plans of residents. The system has an intuitive user interface with drag and drop features. The absent days such as maternity or sick leaves can also be managed and reported. Medplanic automatically deals with the sudden and unexpected changes.,None,"['remote work opportunities', 'flexible working time', 'integration events']","Wrocław, Lower Silesia","employment, B2B","['external training', 'intracompany training', 'substantive support from technological leaders']",Zone IT Sp. z o.o.,"['Java development', 'SQL, PL/SQL', 'Oracle experience', 'AI experience']","['Java', 'PL/SQL', 'SQL', 'Unix']",23-01-2024,Application Support Engineer,20000,12000,[],"['Hibernate', 'Spring Framework', 'Oracle', 'Angular', 'React.js', 'TypeScript']",specialist (Mid / Regular),gross / mth.,"['Contribute to the design and development of a web portal/application', 'Feature planning, implementation and documentation', 'Identify activities for applications consolidation and standardization', 'Derivation of IT roadmaps and their implementation', 'Supporting international business projects for the realization strategic IT solutions', 'Analysis and Design of Business and IT Landscapes']",27/12/2023 18:10:41,pracuj.pl,"Helpdesk, IT admin","https://www.pracuj.pl/praca/application-support-engineer-wroclaw-wagonowa-2d,oferta,1003050285",[],hybrid work,full-time
Internal IT Project Medplanic => designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in order to manage doctors working time. Implemented algorithm deals with sophisticated legal policies and handles individual plans of residents. The system has an intuitive user interface with drag and drop features.,None,"['remote work opportunities', 'flexible working time', 'integration events']","Wrocław, Lower Silesia","employment, B2B","['external training', 'intracompany training', 'substantive support from technological leaders']",Zone IT Sp. z o.o.,"[""3+ years' experience demonstrating functional/technical proficiency inSAP applications."", 'Demonstrated ability in analyzing Q2C and SaaS business processes.', 'Experience with Agile Methodologies and best practices.']","['Oracle', 'Oracle DB', 'Storage']",23-01-2024,Oracle Consultant,25000,17000,[],[],specialist (Mid / Regular),gross / mth.,"['Installing and maintaining the Oracle database software.', 'Creating storage database structures with high-level security features.', 'Manage/resolve incidents and enhancement requests for the assigned functional track.', 'Maintain and manage functional user groups to facilitate support and improvement discussions across all countries in the region', 'Works closely with functional consultants to assist with designing,developing, testing, implementing and supporting innovative, custom solutions to fill gaps identified in the standard SAP functionality.']",27/12/2023 18:10:42,pracuj.pl,Big Data / Data Science,"https://www.pracuj.pl/praca/oracle-consultant-wroclaw-wagonowa-2d,oferta,1003050287",[],hybrid work,full-time
Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in order to manage doctors working time. Implemented algorithm deals with sophisticated legal policies and handles individual plans of residents. The system has an intuitive user interface with drag and drop features. The absent days such as maternity or sick leaves can also be managed and reported. Medplanic automatically deals with the sudden and unexpected changes.,None,"['remote work opportunities', 'flexible working time', 'integration events']","Wrocław, Lower Silesia","employment, B2B","['external training', 'intracompany training', 'substantive support from technological leaders']",Zone IT Sp. z o.o.,"['Android development', 'Graphic experience', 'Database experience']","['Android', 'Kotlin', 'REST', 'GitLab', 'Jira', 'Git']",23-01-2024,Android Developer,18000,12000,[],[],specialist (Mid / Regular),gross / mth.,"['Contribute to the design and development of a web portal/application', 'Feature planning, implementation and documentation', 'Identify activities for applications consolidation and standardization', 'Derivation of IT roadmaps and their implementation', 'Supporting international business projects for the realization strategic IT solutions', 'Analysis and Design of Business and IT Landscapes']",27/12/2023 18:10:42,pracuj.pl,Mobile,"https://www.pracuj.pl/praca/android-developer-wroclaw-wagonowa-2d,oferta,1003050288",[],home office work,full-time
Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in order to manage doctors working time. Implemented algorithm deals with sophisticated legal policies and handles individual plans of residents. The system has an intuitive user interface with drag and drop features. The absent days such as maternity or sick leaves can also be managed and reported. Medplanic automatically deals with the sudden and unexpected changes.,None,"['remote work opportunities', 'flexible working time', 'integration events']","Wrocław, Lower Silesia","employment, B2B","['external training', 'intracompany training', 'substantive support from technological leaders']",Zone IT Sp. z o.o.,"['Java development', 'SQL , PL/SQL', 'Oracle experience']","['Java', 'PL/SQL', 'SQL']",23-01-2024,Java Developer,18000,12000,[],"['Hibernate', 'Spring Framework', 'Oracle']",specialist (Mid / Regular),gross / mth.,"['Contribute to the design and development of a web portal/application', 'Feature planning, implementation and documentation', 'Identify activities for applications consolidation and standardization', 'Derivation of IT roadmaps and their implementation', 'Supporting international business projects for the realization strategic IT solutions', 'Analysis and Design of Business and IT Landscapes']",27/12/2023 18:10:43,pracuj.pl,"Backend, Game dev","https://www.pracuj.pl/praca/java-developer-wroclaw-wagonowa-2d,oferta,1003050289",[],hybrid work,full-time
Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in order to manage doctors working time. Implemented algorithm deals with sophisticated legal policies and handles individual plans of residents. The system has an intuitive user interface with drag and drop features. The absent days such as maternity or sick leaves can also be managed and reported. Medplanic automatically deals with the sudden and unexpected changes.,None,"['remote work opportunities', 'flexible working time', 'integration events']","Wrocław, Lower Silesia","employment, B2B","['external training', 'intracompany training', 'substantive support from technological leaders']",Zone IT Sp. z o.o.,"['Java development', 'SQL , PL/SQL', 'Oracle experience', 'AI experience']","['Java', 'PL/SQL', 'SQL']",23-01-2024,Java Developer with AI Experience,20000,12000,[],"['Hibernate', 'Spring Framework', 'Oracle']",specialist (Mid / Regular),gross / mth.,"['Contribute to the design and development of a web portal/application', 'Feature planning, implementation and documentation', 'Identify activities for applications consolidation and standardization', 'Derivation of IT roadmaps and their implementation', 'Supporting international business projects for the realization strategic IT solutions', 'Analysis and Design of Business and IT Landscapes']",27/12/2023 18:10:43,pracuj.pl,Frontend,"https://www.pracuj.pl/praca/java-developer-with-ai-experience-wroclaw-wagonowa-2d,oferta,1003050286",[],hybrid work,full-time
"You will participate in an international project in the field of a platform for management of virtual network functions in core networks of the world’s largest telecommunication companies. We work in many areas on a cloud solution for Samsung’s internal needs and on a virtualization of network functions based on OpenStack. We also develop platforms, software and infrastructure as cloud services and we cooperate with many companies, which use our services to build solutions for 5G networks.",None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'life insurance', 'corporate products and services at discounted prices', 'integration events', 'dental care', 'no dress code', 'leisure zone', 'pre-paid cards', 'redeployment package', 'baby layette', 'employee referral program', 'charity initiatives', 'possibility to test new Samsung products', 'psychological support', 'mentoring program', 'work in Korea as a part of our Mobility Program']","Kraków, Lesser Poland",employment,[],Samsung R&D Institute Poland,"['Python scripting and related tools for virtual environment, module management, unit tests', 'Linux (commands, filesystems, network configuration)', 'Containers (Docker or Podman)', 'TCP/IP networking', 'Git', 'Self-motivated and pro-active with good problem solving skills', ""Bachelor or Master's degree in Computer Science, Electronics, Telecommunication or similar"", 'Good communication skills', '5+ years of experience in related area']","['Python 3', 'Microservice architecture', 'WSGI', 'REST API', 'OpenAPI', 'Ansible', 'Helm', 'Bash', 'OpenStack', 'K8s (Kubernetes)', 'OpenShift', 'Windriver', 'KVM', 'libvirt', 'Docker', 'RHEL', 'GitLab']",04-01-2024,Senior DevOps Engineer for Cloud Platform,None,None,"['Kubernetes, OpenShift, Windriver', 'Containers (Docker, Podman)', 'GitLab, Jenkins', 'KVM-based virtualization and libvirt', 'Software development for Telco systems', 'Algorithms, computing complexity analysis']","['Kubernetes', 'OpenShift', 'Windriver', 'Containers (Docker', 'Podman)', 'GitLab', 'Jenkins']",senior specialist (Senior),None,"['Development and maintenance of OpenStack & K8s based cloud platforms', 'Automation of cloud provisioning, lifecycle operations and Linux systems configuration', 'Expanding the capabilities of our continuous integration and continuous delivery systems', 'Monitoring and maintenance of internal infrastructure including our own private cloud']",27/12/2023 18:10:44,pracuj.pl,DevOps,"https://www.pracuj.pl/praca/senior-devops-engineer-for-cloud-platform-krakow-aleja-generala-tadeusza-bora-komorowskiego-25,oferta,1002990730","['Friendly working atmosphere', 'Very dynamic work environment', 'Opportunity to work on multiple challenging projects', 'Multidisciplinary team', 'Knowledge sharing internally and externally', 'Monthly integration budget', 'Flexible work hours - start of work between 7 a.m. and 10 a.m.']",hybrid work,full-time
"Będziesz pracował w ramach zwinnego zespołu programistów, budując funkcje w różnych komponentach platformy cyfrowej Alfresco. W ramach tej pracy natkniesz się na wiele różnorodnych technologii, które składają się na Alfresco i Camunda. W razie potrzeby, będziesz współpracować z innymi ekspertami technicznymi w tych obszarach.",None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'możliwość pracy zdalnej', 'elastyczny czas pracy', 'spotkania integracyjne', 'służbowy telefon do użytku prywatnego', 'komputer do użytku prywatnego', 'brak dress code’u', 'kawa / herbata', 'inicjatywy dobroczynne']","Poznań, wielkopolskie","employment, mandate, B2B","['firma wspiera projekty open source', 'konferencje w Polsce', 'konferencje zagraniczne', 'mentoring', 'szkolenia wewnątrzfirmowe', 'wsparcie merytoryczne od liderów technologicznych', 'wymiana wiedzy technicznej w firmie']",BeOne Sp. z o.o.,"['Programowanie w języku Java, Kotlin, w tym zagadnień dotyczących wielowątkowości', 'Doświadczenie w tworzeniu aplikacji w Angular (TypeScript)']","['Angular', 'Kotlin', 'Java']",21-01-2024,Full Stack Developer,None,None,"['Doświadczenie w budowaniu mikrousług, szczególnie przy użyciu Spring Boot', 'Znajomość Docker i Kubernetes oraz korzystania z nich do tworzenia skalowalnej architektury', 'Doświadczenie w tworzeniu i wdrażaniu aplikacji w chmurze', 'Znajomość platformy Alfresco i Camunda']","['Spring Boot', 'Docker', 'Kubernetes', 'Alfresco', 'Camunda']","specjalista (Mid / Regular), młodszy specjalista (Junior)",None,"['Rozwijanie nowych funkcji front-end i back-end platformy Alfresco i Camunda', 'Odgrywanie aktywnej roli w definiowaniu funkcji, które będą częścią przyszłych wersji poprzez działania związane z planowaniem i projektowaniem', 'Wpływ na optymalizację procesów biznesowych naszych klientów', 'Integracje po stronie serwera', 'Budowanie interfejsów API RESTful', 'Wykorzystanie najlepszych praktyk inżynierii oprogramowania, w tym testów jednostkowych, TDD, refaktoryzacji, zarządzania kontrolą kodów, continuous integration i budowania procesów', 'Używanie metodyki SCRUM do realizacji projektów']",27/12/2023 18:10:45,pracuj.pl,None,"https://www.pracuj.pl/praca/full-stack-developer-poznan-kazimierza-wielkiego-5,oferta,1003049908","['Atrakcyjne wynagrodzenie', 'Elastyczny czas pracy i formy zatrudnienia', 'Możliwość realizacji innowacyjnych projektów na skalę światową', 'Bezpośredni kontakt z technologią wykorzystywaną przez największe korporacje (Google, Airbus, ING, Toyota)', 'Możliwość nieustannego rozwoju i podnoszenia kwalifikacji', 'Stałą pracę w miłej, przyjaznej atmosferze', 'Opiekę medyczną dla pracowników', 'Możliwość zaprezentowania zrealizowanych projektów na międzynarodowych konferencjach DevCon']","praca stacjonarna, praca zdalna, praca hybrydowa",pełny etat
"Misja Banku BNP Paribas: Wprowadzamy pozytywną bankowość w życie naszych Klientów, odpowiadając na ich potrzeby finansowe i ułatwiając im realizację celów. W sposób prosty, przemyślany i bezpieczny. Z troską o społeczeństwo i środowisko.",None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'ubezpieczenie na życie', 'możliwość pracy zdalnej', 'zniżki na firmowe produkty i usługi', 'program rekomendacji pracowników', 'inicjatywy dobroczynne', 'pakiet kafeteryjny', 'program wellbeingowy']","Warszawa, mazowieckie",employment,['wymiana wiedzy technicznej w firmie'],BNP Paribas Bank Polska S.A.,[],"['Jira', 'Confluence', 'Microsoft Excel']",21-01-2024,IT Vendor Expert,None,None,[],[],"specjalista (Mid / Regular), starszy specjalista (Senior)",None,[],27/12/2023 18:10:45,pracuj.pl,IT admin,"https://www.pracuj.pl/praca/it-vendor-expert-warszawa-marcina-kasprzaka-2,oferta,1003049749","['Dołączenie do banku o globalnym zasięgu, który jest częścią grupy bankowej BNP Paribas obecnej w 65 krajach z 200-letnią tradycją,', 'Pracę w miejscu, w którym możesz być sobą niezależnie od swojej orientacji seksualnej, tożsamości płciowej, koloru skóry, pochodzenia czy poziomu sprawności,', 'Rozwój w Banku Zielonych Zmian, w którym możesz mieć wpływ na naszą planetę i otaczający nas świat,', 'Dużą autonomię w działaniu przy jednoczesnym wsparciu przełożonego,', 'Możliwość podejmowania własnych decyzji, eksperymentowania i tworzenia swojej unikalnej ścieżki doświadczeń,', 'Korzystanie z możliwości rozwoju zarówno w banku jak i spółkach w ramach Grupy BNP Paribas w kraju i zagranicą,', 'Pracę w środowisku agile’owym, które wspiera elastyczność i innowacyjność organizacji, w końcu jesteśmy Bankiem zmieniającego się świata']",praca hybrydowa,pełny etat
None,Warszawa,"['sharing the costs of sports activities', 'private medical care', 'life insurance', 'flexible working time', 'retirement pension plan', 'parking space for employees', ' annual bonus', 'multi-cafeteria MyBenefits', 'employment awards', 'contract for an indefinite period without a trial period']","Warszawa, Masovian",employment,[],Mondelēz International w Polsce,"['Fluency in English', 'Strong analytical skillset with experience in Excel (e.g., advanced formulas, pivot table, VBA) is a must.', 'Experience in using Coupa Sourcing Optimization or similar sourcing platforms (Trade extensions, Bravo solutions) for parametric bidding preferred.', 'Experience working with visualization and reporting platforms such as Tableau or Power BI.', 'Experience working with & understanding complex business problems and being able to model scenarios/solutions in a complex tool is required.', 'Ability to simplify complex problems and communicate to non-technical audience.', 'Experience in a procurement, manipulating procurement data such as cost models and supplier spend is preferred.', 'Experience working with advanced analytics platforms such as R/Python or SQL experience will be considered as asset.', 'roaches in a complex and highly matrixed organization', 'Savvy in usage of the analytics techniques to create business impacts']","['Tableau', 'Power BI']",18-01-2024,Senior Sourcing Analyst,None,None,[],[],senior specialist (Senior),None,"['Provide advanced analytics for strategic complex (parametric) bidding leveraging cost modeling for regional and global projects.', 'Set up Sourcing events in CSO [Coupa Sourcing Optimization] tender platform in line with predefined architecture and cost structure.', 'Optimize event set up to maximize sourcing options & potential award scenarios.', 'Work as an integrated part of the Sourcing team to establish & run complex set of “what-if” scenarios, and help to translate analysis into insights & sourcing options.', 'Use data visualization tools (e.g. Tableau) to help translate complex data into simple & meaningful insights. \xa0Partner with Sourcing Managers in negotiations to model impact of trading variables on sourcing financials.', 'Establish, maintain and update cost models in Excel and other analytics tools adopted by Mondelez.', 'Perform analysis to benchmark costs to support sourcing decisions & productivity programs.', 'Perform data manipulation and analysis using Excel and create automated solution (e.g. VBA).']",27/12/2023 18:10:46,pracuj.pl,System analytics,"https://www.pracuj.pl/praca/senior-sourcing-analyst-warszawa,oferta,1003043357","['Growth opportunities in an international company with the title of TOP EMPLOYER POLAND 2023', 'Permanent contract without probation period', 'Annual Bonus', 'Private Medical Care, Life Insurance, Pension Plan, Multisport Card', 'Social Fund support', 'Cafeteria system', 'Free parking space in the office building', 'Hybrid working style – 3 days a week from the office']",hybrid work,full-time
"Are you passionate about technology and seeking to enhance IT processes? Look no further! Join our team and work on a long-term project with some of the leading airlines in the world (Lufthansa, Discover Airlines, Brussels, City Airlines, SWISS).",None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'corporate library', 'no dress code', 'coffee / tea', 'parking space for employees', 'leisure zone', 'holiday funds', 'redeployment package', 'sharing the costs of holidays for kids', 'employee referral program', 'charity initiatives', 'holiday benefit ']","Gdańsk, Pomeranian",employment,"['conferences in Poland', 'development budget', 'external training', 'industry-specific e-learning platforms', 'intracompany training', 'mentoring', 'substantive support from technological leaders', 'support of IT events', 'technical knowledge exchange within the company']",Lufthansa Systems,"['Experience in management of IT systems,', 'Linux or Unix administrator (or power user),', 'Familiarity with Azure Cloud,', 'Knowledge of monitoring tools (preferred Prometheus, Grafana, Elastic, Consul),', 'Experience with scripting or task automation (preferred Ansible),', 'Readiness to learn cloud native technologies,', 'Good level of communication in English and Polish.']","['Azure', 'Linux', 'Unix', 'Prometheus', 'Grafana', 'Elastic', 'Consul', 'Ansible']",03-01-2024,"Senior Systems Enginer (Linux, Cloud, DevOps)",21000,10000,"['Experience with Kubernetes/AKS,', 'RHCSA certificate.']","['Kubernetes', 'AKS']","senior specialist (Senior), expert",gross / mth.,"['Member of the team of specialists who take care of Crew Management Systems (CMS) for Lufthansa Group companies,', 'In first months, comprehensive introduction into administration of CMS ecosystem, (dev/test/prod environments in Azure cloud),', 'Managing systems that have real impact for flight operations,', 'Participation in interesting projects – our team is supporting various airlines in different scopes of crew management,', 'Setting up new environments and optimizing existing solutions,', 'Ensuring continuous availability of systems,', 'Installing and configuring modern monitoring,', 'Incident, problem and change management at integration layer – be our expert in 3rd line of support,', 'Being a part of competence center for CMS applications.']",27/12/2023 18:10:47,pracuj.pl,DevOps,"https://www.pracuj.pl/praca/senior-systems-enginer-linux-cloud-devops-gdansk-aleja-grunwaldzka-415,oferta,1003018359","['Comprehensive introduction into administration of modern integration platforms,', 'An international working environment, atmosphere that stimulates development,', 'Individual career path,', 'Salary in the range of 10 000 - 21 000 zł gross (contract of employment),', 'Lufthansa Group membership benefits,', 'Flexible working time and place adjusted to employee’s needs. Possibility of starting your workday between 07:00 and 11:00,', ""Workplace adjusted to employee's needs,"", 'Support for your passion for sports within the local activity group and co-financing Multisport cards,', 'Private medical care for employees and their family members.']",hybrid work,full-time
None,None,"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'możliwość pracy zdalnej', 'elastyczny czas pracy', 'owoce', 'spotkania integracyjne']","Gliwice, śląskie","employment, B2B",[],EXORIGO UPOS S.A.,"['Umiejętności programowania z wykorzystaniem języków Java, Kotlin', 'Znajomość Android SDK, Android Studio, Gradle', 'Znajomości zasad pracy relacyjnych baz danych', 'Podstawowej znajomości MS SQL', 'Znajomości języka angielskiego (umiejętności czytania i zrozumienia dokumentacji technicznej)', 'Zdolności szybkiego uczenia się', 'Komunikatywności, umiejętności pracy samodzielnej jak i w zespole', 'Kreatywności i skrupulatności']","['MS SQL', 'Java', 'Kotlin']",21-01-2024,Programista Android,None,None,"['Znajomość języków C, C++, PHP', 'Znajomość protokołów sieciowych', 'Umiejętność programowania wielowątkowego', 'Znajomość zasad bezpieczeństwa w zakresie wytwarzania kodu', 'Znajomość środowiska kontroli wersji SVN / GIT', 'Znajomość środowiska Microsoft Visual Studio', 'Znajomość środowiska Eclipse']","['C++', 'C', 'PHP']","specjalista (Mid / Regular), młodszy specjalista (Junior)",None,"['Projektowanie rozwiązań i rozwój aplikacji na terminale płatnicze', 'Projektowanie rozwiązań i rozwój systemów autoryzacji kart płatniczych', 'Tworzenie dokumentacji wytwarzanego oprogramowania']",27/12/2023 18:10:47,pracuj.pl,Mobile,"https://www.pracuj.pl/praca/programista-android-gliwice-bojkowska-35,oferta,1003049778","['Dobrą atmosferę pracy – gramy do jednej bramki i pomagamy sobie zgodnie z hasłem #OneTeam', 'Elastyczność i samodzielność – u nas masz wpływ na to, kiedy i jak realizujesz zadania', 'Rozwój i poczucie sprawczości – zapewniamy developerom(-kom) decyzyjność oraz pracę w dużych, ambitnych projektach – z efektami widocznymi tu i teraz', 'Pracę w 100% zdalną – od początku pandemii większość naszych developerów(-ek) pracuje z domu', 'Dostęp do biura – jeśli nie chcesz lub nie możesz pracować zdalnie, to jest opcja korzystania z naszych lokalizacji w Polsce', 'Opiekę medyczną – to nasz stały benefit – pozostałe modyfikujemy w zależności od feedbacku', 'Dofinansowanie pakietu MultiSport – ponieważ zależy nam na Twoim zdrowiu i dobrej kondycji', 'Grupy sportowe – jeśli jesteś aktywny(-a), to możesz dołączyć do istniejącej ekipy np. rowerowej lub biegowej – albo zaproponować utworzenie zupełnie nowej']","praca zdalna, praca hybrydowa",pełny etat
"Apptio is a global provider of a SaaS solution across Information Technology, multi-cloud FinOps, and product development.",Kraków,[],"Kraków, Lesser Poland",employment,[],NTIATIVE sp. z o.o.,"['5+ years delivering enterprise software with C#, .NET/Node.js, or JavaScript/TypeScript', 'Leadership experience and deep technical skills', 'Expertise in SDLC best practices and data structures, algorithms', 'Experience with REST APIs, databases, container technologies (e.g., Docker, Kubernetes, Helm)']","['C#', 'Node.js', 'JavaScript', 'TypeScript']",19-01-2024,Senior Software Development Engineer (C# / node.js / JS / TS),None,None,[],[],senior specialist (Senior),None,"['Deliver valuable features bi-weekly with the Targetprocess product team', 'Own features end-to-end from concept to production', 'Partner with product managers, UX designers, and engineers', 'Achieve high-quality solutions through collaboration']",27/12/2023 18:10:47,pracuj.pl,Backend,"https://www.pracuj.pl/praca/senior-software-development-engineer-c%23-node-js-js-ts-krakow,oferta,1003045528","['Private Healthcare + Life Insurance', 'Sport Card', '15 days of 100% paid sick leave', 'Flexible working hours + Hybrid work', 'A clear career ladder for technical and managerial paths']",hybrid work,full-time
"Apptio is a global provider of a SaaS solution across Information Technology, multi-cloud FinOps, and product development.",Kraków,[],"Kraków, Lesser Poland",employment,[],NTIATIVE sp. z o.o.,"['At least 4 years of delivering cloud software and 1 year management experience', 'Proven track record of meeting commitments in an agile environment and releasing software monthly', 'Hands-on experience with CI/CD, DevOps, and leading remote teams', 'Technical expertise including Kubernetes, developing Kubernetes operators, .NET, React, NodeJS, Python, and REST APIs', 'Experience driving large initiatives by collaborating across multiple teams and stakeholders']","['Kubernetes', '.NET', 'Node.js', 'Python']",19-01-2024,"Manager, Software Development Engineering (.NET)",None,None,[],[],"manager / supervisor, team manager",None,"['Lead teams of 6-7 engineers, collaborating cross-functionally to deliver features and architecture.', 'Mentor and facilitate to raise team performance.', 'Drive large projects end-to-end, partnering with product, UX, and other leaders.', 'Occasionally travel to Apptio engineering centers in other cities to drive cross-team initiatives.']",27/12/2023 18:10:48,pracuj.pl,DevOps,"https://www.pracuj.pl/praca/manager-software-development-engineering-net-krakow,oferta,1003045529","['\u200b\u200b\u200b\u200b\u200b\u200bPrivate Healthcare + Life Insurance', 'Sport Card', '15 days of 100% paid sick leave', 'Flexible working hours + Hybrid work', 'A clear career ladder for technical and managerial paths']",hybrid work,full-time
"Apptio is a global provider of a SaaS solution across Information Technology, multi-cloud FinOps, and product development.",Kraków,[],"Kraków, Lesser Poland",employment,[],NTIATIVE sp. z o.o.,"['5+ years delivering enterprise software with C#, .NET/Node.js, or JavaScript/TypeScript', 'Leadership experience and deep technical skills', 'Expertise in SDLC best practices and data structures, algorithms', 'Experience with REST APIs, databases, container technologies (e.g., Docker, Kubernetes, Helm)']","['C#', 'Node.js', 'JavaScript', 'TypeScript']",19-01-2024,Principal FullStack Engineer (C# / node.js / JS / TS),None,None,[],[],specialist (Mid / Regular),None,"['Deliver valuable features bi-weekly with the Targetprocess product team', 'Own features end-to-end from concept to production', 'Partner with product managers, UX designers, and engineers', 'Achieve high-quality solutions through collaboration']",27/12/2023 18:10:49,pracuj.pl,Full-stack,"https://www.pracuj.pl/praca/principal-fullstack-engineer-c%23-node-js-js-ts-krakow,oferta,1003045527","['Private Healthcare + Life Insurance', 'Sport Card', '15 days of 100% paid sick leave', 'Flexible working hours + Hybrid work', 'A clear career ladder for technical and managerial paths']",hybrid work,full-time
